subway_name,station_name,elevator,escalator,horizontal_walker,wheelchair_lift,Movable_safety_footrest,electric_wheelchair_rapid_charger,Disabled_toilets,voice_guides,sign_language_video_cellphone,주소,구별,lat,lng,total
1,서울역,4,5,0,1,1,0,1,33,1,서울 용산구 동자동 43-205,용산구,37.5546788388674,126.970606917394,46
1,시청역,3,3,0,0,1,0,1,32,1,서울 중구 정동 5-5,중구,37.56534539636417,126.97719821079863,41
1,종각역,4,2,0,0,1,1,2,38,0,서울 종로구 종로1가 54,종로구,37.57022799091224,126.98315081716676,48
1,종로3가역,3,4,0,0,1,1,2,48,1,서울 종로구 종로3가 10-5,종로구,37.570420844523,126.992153252476,60
1,종로5가역,3,0,0,0,1,0,1,32,0,서울 종로구 종로5가 82-1,종로구,37.57097610838373,127.00153834521934,37
1,동대문역,3,1,0,0,1,0,1,4,0,서울 종로구 창신동 492-1,종로구,37.571669405802616,127.01063381083677,10
1,동묘앞역,7,12,0,0,1,1,4,37,0,서울 종로구 숭인동 117,종로구,37.5732166600283,127.016364227103,62
1,신설동역,5,0,0,5,1,0,1,0,0,서울 동대문구 신설동 76-5,동대문구,37.5760299683175,127.024456700382,12
1,제기동역,3,2,0,0,1,1,1,0,0,서울 동대문구 제기동 65,동대문구,37.57817349658033,127.03494949507864,8
1,청량리역,1,4,0,2,1,0,1,0,1,서울 동대문구 전농동 591-53,동대문구,37.5807329338809,127.048504385911,10
2,시청역,2,4,0,0,1,0,2,0,1,서울 중구 정동 5-5,중구,37.56534539636417,126.97719821079863,10
2,을지로입구역,4,6,0,0,2,0,1,38,0,서울 중구 을지로1가 100-1,중구,37.56603551771296,126.9821953112953,51
2,을지로3가역,2,0,0,0,1,0,1,32,0,서울 중구 을지로3가 347-3,중구,37.56629149790628,126.99098443539428,36
2,을지로4가역,3,2,0,0,1,0,1,33,0,서울 중구 을지로4가 267-1,중구,37.5666405038268,126.997632059113,40
2,동대문역사문화공원역,3,2,0,0,1,1,1,29,1,서울 중구 을지로7가 112-3,중구,37.56566440553802,127.00900417014896,38
2,신당역,3,2,0,0,1,0,1,28,0,서울 중구 신당동 99,중구,37.5656730531732,127.019477533278,35
2,상왕십리역,3,8,0,0,1,1,1,35,0,서울 성동구 하왕십리동 946-14,성동구,37.56443666620397,127.02927241035285,49
2,왕십리역,2,8,0,0,1,0,1,44,1,서울 성동구 행당동 192,성동구,37.561268363317176,127.03710337610202,57
2,한양대역,2,2,0,1,1,1,1,31,0,서울 성동구 행당동 산 17,성동구,37.5557159860408,127.043639802768,39
2,뚝섬역,4,8,0,0,1,1,1,0,0,서울 성동구 성수동1가 656-745,성동구,37.547241554679,127.04738727881,15
2,성수역,4,8,0,0,1,1,1,0,0,서울 성동구 성수동2가 300-1,성동구,37.5445888153751,127.056066999327,15
2,건대입구역,2,2,0,0,1,1,1,35,1,서울 광진구 화양동 7-3,광진구,37.54040751726388,127.06920291650827,43
2,구의역,2,6,0,0,1,0,1,0,0,서울 광진구 구의동 245-24,광진구,37.5371752725594,127.086180837795,10
2,강변역,2,2,0,0,1,0,1,23,0,서울 광진구 구의동 546-6,광진구,37.5351180385975,127.094741101863,29
2,잠실나루역,2,4,0,0,1,0,1,0,0,서울 송파구 신천동 15,송파구,37.5207124124456,127.103808749487,8
2,잠실역,4,6,0,1,1,0,1,33,1,서울 송파구 신천동 8,송파구,37.51331105877401,127.10023101886318,47
2,잠실새내역,4,11,0,0,1,0,1,36,0,서울 송파구 잠실동 33,송파구,37.5116263587296,127.086314327913,53
2,종합운동장역,3,5,0,0,1,0,2,38,1,서울 송파구 잠실동 122,송파구,37.5111446632705,127.073849447402,50
2,삼성역,5,4,0,1,1,0,1,35,0,서울 강남구 삼성동 172-66,강남구,37.508822740225305,127.06302321147604,47
2,선릉역,3,2,0,0,2,1,1,0,1,서울 강남구 삼성동 172-66,강남구,37.504497373023206,127.04896282498558,10
2,역삼역,4,14,0,0,1,0,1,33,0,서울 강남구 역삼동 804,강남구,37.5006744185994,127.03646946847,53
2,강남역,4,0,0,0,2,0,1,18,1,서울 강남구 역삼동 858,강남구,37.49808633653005,127.02800140627488,26
2,교대역,3,2,0,0,1,0,1,0,1,서울 서초구 서초동 1748-4,서초구,37.4927431676548,127.013867969161,8
2,서초역,4,8,0,0,1,1,1,36,0,서울 서초구 서초동 1748-5,서초구,37.4918499338918,127.007662120039,51
2,방배역,3,2,0,0,1,0,1,27,0,서울 서초구 방배동 912-14,서초구,37.4814561268152,126.997553345516,34
2,사당역,3,12,0,0,3,1,2,35,1,서울 동작구 사당동 1129,동작구,37.47656223234824,126.98155858357366,57
2,낙성대역,3,8,0,0,1,0,1,30,0,서울 관악구 봉천동 1693-39,관악구,37.4770932409965,126.963523905001,43
2,서울대입구역,3,8,0,0,1,0,1,37,0,서울 관악구 봉천동 979-2,관악구,37.4812845080678,126.952713197762,50
2,봉천역,2,8,0,0,1,0,1,20,0,서울 관악구 봉천동 979-7,관악구,37.4824725161034,126.941686527151,32
2,신림역,3,4,0,0,1,0,1,1,0,서울 관악구 신림동 1467-10,관악구,37.48426713514037,126.9297453749671,10
2,신대방역,3,8,0,0,1,0,1,31,0,서울 동작구 신대방동 643-1,동작구,37.48765046104574,126.91350747615148,44
2,구로디지털단지역,4,4,0,0,1,0,1,27,0,서울 구로구 구로동 810-3,구로구,37.4852605752505,126.901473080039,37
2,대림역,4,6,0,0,1,1,1,0,0,서울 구로구 구로동 1204,구로구,37.4933099444417,126.894931036051,13
2,신도림역,4,9,0,0,1,1,2,39,1,서울 구로구 신도림동 460-26,구로구,37.508908482648,126.891312500851,57
2,문래역,4,4,0,0,1,0,1,32,0,서울 영등포구 문래동3가 68-1,영등포구,37.5179757181801,126.894778820701,42
2,영등포구청역,4,2,0,0,1,0,1,0,1,서울 영등포구 당산동3가 270-1,영등포구,37.5258305311402,126.89667739939,9
2,당산역,4,1,0,0,1,0,1,0,0,서울 영등포구 당산동6가 323-1,영등포구,37.5347843171332,126.902611795523,7
2,합정역,4,4,0,0,1,0,1,26,0,서울 마포구 서교동 393,마포구,37.54991315995173,126.91445406513526,36
2,홍대입구역,2,8,0,0,1,0,1,29,1,서울 마포구 동교동 165,마포구,37.5568707448873,126.923778562273,42
2,신촌역,4,4,0,0,1,0,1,0,0,서울 마포구 노고산동 31-11,마포구,37.55519816936644,126.93698075993808,10
