,구별,나이대,심한장애_남,심한장애_여,심한장애_합계,심하지않은_남,심하지않은_여,심하지않은_합계,남,여,총합계,인구수,비율,비율정규화
0,강남구,0~4세,13,12,25,16,4,20,29,16,45,12363,0.0036398932297985924,0.006141027798456693
1,강남구,100세 이상,3,1,4,4,8,12,7,9,16,106,0.1509433962264151,0.5730223397930393
2,강남구,10~14세,172,73,245,16,7,23,188,80,268,29794,0.008995099684500235,0.026749950188529485
3,강남구,15~19세,136,83,219,28,16,44,164,99,263,29347,0.008961733737690394,0.026621545016088075
4,강남구,20~24세,171,74,245,30,21,51,201,95,296,31679,0.009343729284383977,0.02809161281678878
5,강남구,25~29세,183,81,264,43,32,75,226,113,339,39095,0.008671185573602762,0.025503402398261824
6,강남구,30~34세,146,84,230,85,33,118,231,117,348,38337,0.00907739259722983,0.027066645402064767
7,강남구,35~39세,168,86,254,148,55,203,316,141,457,39325,0.011621106166560712,0.03685584699052824
8,강남구,40~44세,183,112,295,237,79,316,420,191,611,47322,0.01291154220024513,0.04182194797888635
9,강남구,45~49세,187,135,322,303,118,421,490,253,743,50407,0.014740016267581884,0.04885862909748635
10,강남구,50~54세,281,214,495,360,158,518,641,372,1013,47259,0.02143507056856895,0.07462380839607843
11,강남구,55~59세,346,226,572,445,202,647,791,428,1219,34697,0.035132720408104445,0.1273377055832799
12,강남구,5~9세,123,53,176,11,12,23,134,65,199,22363,0.00889862719670885,0.026378686441652956
13,강남구,60~64세,452,327,779,526,341,867,978,668,1646,32976,0.049915089762251334,0.18422602638621274
14,강남구,65~69세,491,314,805,599,456,1055,1090,770,1860,28551,0.06514657980456026,0.2428427387057754
15,강남구,70~74세,341,247,588,568,523,1091,909,770,1679,20157,0.08329612541548842,0.3126892665800297
16,강남구,75~79세,307,230,537,619,519,1138,926,749,1675,14410,0.11623872310895211,0.4394652265611671
17,강남구,80~84세,197,187,384,406,458,864,603,645,1248,8455,0.14760496747486695,0.5601747643302785
18,강남구,85~89세,88,142,230,216,349,565,304,491,795,4145,0.19179734620024125,0.7302442679223083
19,강남구,90~94세,24,76,100,82,191,273,106,267,373,1782,0.20931537598204264,0.7976604766630866
20,강남구,95~99세,4,22,26,14,49,63,18,71,89,472,0.1885593220338983,0.7177830884503659
21,강동구,0~4세,23,15,38,8,4,12,31,19,50,14678,0.0034064586455920427,0.00524268050414314
22,강동구,100세 이상,1,6,7,1,3,4,2,9,11,80,0.1375,0.5212869096405857
23,강동구,10~14세,166,67,233,17,11,28,183,78,261,19891,0.01312151224171736,0.04262999456411975
24,강동구,15~19세,151,91,242,19,10,29,170,101,271,18959,0.01429400284825149,0.047142195562820094
25,강동구,20~24세,227,123,350,39,18,57,266,141,407,25732,0.01581688170371522,0.05300282715699146
26,강동구,25~29세,232,128,360,63,41,104,295,169,464,34735,0.013358284151432273,0.04354118518818615
27,강동구,30~34세,206,95,301,94,57,151,300,152,452,34541,0.013085897918415796,0.042492936762314096
28,강동구,35~39세,185,123,308,196,71,267,381,194,575,36556,0.015729292045081517,0.05266574800005809
29,강동구,40~44세,230,137,367,280,95,375,510,232,742,38733,0.019156791366534996,0.06585610174372106
30,강동구,45~49세,249,153,402,396,133,529,645,286,931,36121,0.025774480219263034,0.09132354863323978
31,강동구,50~54세,339,175,514,532,192,724,871,367,1238,37171,0.03330553388394178,0.12030597943281662
32,강동구,55~59세,403,201,604,737,336,1073,1140,537,1677,34595,0.04847521318109553,0.1786848199055045
33,강동구,5~9세,148,49,197,28,9,37,176,58,234,19643,0.011912640635340834,0.03797778529336355
34,강동구,60~64세,470,246,716,998,530,1528,1468,776,2244,37366,0.06005459508644222,0.22324679618613671
35,강동구,65~69세,411,233,644,917,619,1536,1328,852,2180,29216,0.07461664841182913,0.2792872550109348
36,강동구,70~74세,374,214,588,848,678,1526,1222,892,2114,18910,0.11179270227392914,0.4223552049198558
37,강동구,75~79세,323,230,553,797,675,1472,1120,905,2025,12608,0.16061230964467005,0.6102320884588825
38,강동구,80~84세,182,193,375,486,596,1082,668,789,1457,7509,0.19403382607537623,0.7388511144675336
39,강동구,85~89세,79,136,215,206,462,668,285,598,883,3784,0.2333509513742072,0.8901587420517102
40,강동구,90~94세,24,72,96,58,184,242,82,256,338,1494,0.22623828647925034,0.862786434364475
41,강동구,95~99세,3,12,15,12,33,45,15,45,60,342,0.17543859649122806,0.6672894208956942
42,강북구,0~4세,16,10,26,4,2,6,20,12,32,5696,0.0056179775280898875,0.013753467417608243
43,강북구,100세 이상,0,0,0,2,5,7,2,5,7,45,0.15555555555555556,0.5907717271357914
44,강북구,10~14세,97,43,140,7,8,15,104,51,155,9722,0.015943221559349928,0.053489032180378135
45,강북구,15~19세,101,54,155,13,11,24,114,65,179,11074,0.016163987718981396,0.054338626437608846
46,강북구,20~24세,157,112,269,24,9,33,181,121,302,18441,0.016376552247708908,0.05515665762137051
47,강북구,25~29세,174,137,311,46,22,68,220,159,379,22560,0.016799645390070922,0.056784884993828846
48,강북구,30~34세,145,101,246,58,31,89,203,132,335,18649,0.01796342967451338,0.061263580670594724
49,강북구,35~39세,162,99,261,110,32,142,272,131,403,18471,0.021817984949380108,0.07609741222870968
50,강북구,40~44세,184,123,307,196,48,244,380,171,551,20592,0.026757964257964256,0.09510837866676239
51,강북구,45~49세,247,165,412,280,105,385,527,270,797,23331,0.03416055891303416,0.12359644911221881
52,강북구,50~54세,358,223,581,458,199,657,816,422,1238,26958,0.045923288077750576,0.16886401713254312
53,강북구,55~59세,378,215,593,661,267,928,1039,482,1521,24742,0.06147441597283971,0.22871082053385916
54,강북구,5~9세,84,36,120,14,7,21,98,43,141,8452,0.01668244202555608,0.056333840750516596
55,강북구,60~64세,449,263,712,853,464,1317,1302,727,2029,26276,0.07721875475719288,0.28930117476845146
56,강북구,65~69세,352,237,589,863,602,1465,1215,839,2054,20896,0.09829632465543645,0.37041588171366435
57,강북구,70~74세,325,245,570,807,772,1579,1132,1017,2149,16210,0.1325724861196792,0.5023239150306615
58,강북구,75~79세,305,247,552,795,911,1706,1100,1158,2258,13094,0.17244539483733007,0.6557704139059892
59,강북구,80~84세,172,206,378,577,755,1332,749,961,1710,8712,0.1962809917355372,0.7474990840798413
60,강북구,85~89세,81,123,204,264,384,648,345,507,852,3795,0.22450592885375495,0.8561196467891163
61,강북구,90~94세,15,26,41,76,139,215,91,165,256,1187,0.21566975568660487,0.8221146072883218
62,강북구,95~99세,6,6,12,6,29,35,12,35,47,279,0.16845878136200718,0.6404283709040776
63,강서구,0~4세,27,20,47,4,3,7,31,23,54,15619,0.0034573276138037006,0.005438444127227499
