url,title,startdate,enddate,org,subtitle,subcontents,urlcontents
내역사업 고용보험 미적용자 출산급여(고용부),https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=201901913390301A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,고용노동부 2023.01.01 ~ 2023.12.31,고용보험 모성보호제도(출산전후휴가급여)의 사각지대 해소,고용보험 미적용으로 출산전후휴가급여를 받지 못하는 출산여성에게 총 150만원(월 50만원*3월분) 출산급여 지급(1인사업자  특고·프리랜서 및 근로자),고용보험 미적용자 출산급여(고용부)고용보험 모성보호제도(출산전후휴가급여)의 사각지대 해소고용보험 미적용으로 출산전후휴가급여를 받지 못하는 출산여성에게 총 150만원(월 50만원*3월분) 출산급여 지급(1인사업자  특고·프리랜서 및 근로자)고용보험 미적용 출산여성
내역사업 여성장애인 출산비용지원,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=200807515320306A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,보건복지부 2023.01.01 ~ 2023.12.31,임신과 출산 시 여성장애인에게 출산비용을 지원함으로써  경제적 부담을 경감하고 출산 친화적인 문화 조성,(여성장애인  임신 및 출산  출산비용)태아 1인 기준 1백만원 지원,여성장애인 출산비용지원임신과 출산 시 여성장애인에게 출산비용을 지원함으로써  경제적 부담을 경감하고 출산 친화적인 문화 조성(여성장애인  임신 및 출산  출산비용)태아 1인 기준 1백만원 지원등록 여성장애인 중 출산 및 유산 사산한자
내역사업 민간이 선도하는 출산인식 전환사업,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=200907525370301A0004&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,보건복지부 2023.01.01 ~ 2023.12.31,친숙한 매체활용하여 현 인구문제에 대한 자연스러운 대국민 공감대 형성 및 행동변화를 위해 민간주도 캠페인 추진,□ 인구정책 포럼 ○ (중앙) 국내 저출산·고령화 등의 인구문제에 대한 인구  보건  보육  교육  경제 등 분야별 전문가들의 분석 및 이에 대한 해결·대응방안 모색 ○ (지역) 지역별 인구변동 현황(이동  지역소멸 등)을 파악하고 지역별 추진되는 주요정책과 그 효과성  향후 필요한 지역정책 등 논의 - 도시유형별(수도권  권역대도시  농...,민간이 선도하는 출산인식 전환사업친숙한 매체활용하여 현 인구문제에 대한 자연스러운 대국민 공감대 형성 및 행동변화를 위해 민간주도 캠페인 추진□ 인구정책 포럼○ (중앙) 국내 저출산·고령화 등의 인구문제에 대한 인구  보건  보육  교육  경제 등 분야별 전문가들의 분석 및 이에 대한 해결·대응방안 모색○ (지역) 지역별 인구변동 현황(이동  지역소멸 등)을 파악하고 지역별 추진되는 주요정책과 그 효과성  향후 필요한 지역정책 등 논의- 도시유형별(수도권  권역대도시  농어촌 등) 공통의 인구문제를 인식하고 향후 정책방향 논의□ 컨텐츠 제작·배포○ 인구문제·원인  세계적 추세 등 정보공유 및 삶의 질 향상을 위한 공감대 형성 등을 위한 다양한 컨텐츠 제작- 인플루언서 협업  다큐제작  SNS 등 다양한 매체 활용하여 인구문제 인식개선 홍보효과 극대화□ 대국민 인식개선 캠페인○ 저출산 관련 우리사회 문화와 인식개선 위한 분야선정 및 슬로건 개발○ TV  라디오  지면광고 등 매체활용한 인구문제 공감대 형성홍보- 세대별  성별 등 홍보대상을 세분화하여 홍보효과 극대화○ 수혜대상 : 전국민○ 수행기관 응모자격 : 민법  사회복지사업법 등 법령에 의해 설립된 다음 사항을 충족하는 단체 및 법인- 사업의 효과적 운영을 위한 인적․물적 인프라 보유 및 지자체 등과 협력연계 가능- 해당 캠페인과 관련된 사업 수행- 보조금 이외 캠페인을 위한 추가재정 투입 가능- 제안 내용과 관련된 단체  언론 등과 연계하여 공동 이행방식(컨소시엄)으로 사업을 추진할 단체 및 법인
내역사업 지자체가 선도하는 출산인식 전환사업,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=200907525370301A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,보건복지부 2023.01.01 ~ 2023.12.31,지자체 중심결혼.출산. 양육 및 가족 친화적 사회분위기 조성,아빠육아 실천법을 안내하고 육아하는 아빠들의 지역 커뮤니티를 지속 확산하기 위한 멘토프로그램 운영,지자체가 선도하는 출산인식 전환사업지자체 중심결혼.출산. 양육 및 가족 친화적 사회분위기 조성아빠육아 실천법을 안내하고 육아하는 아빠들의 지역 커뮤니티를 지속 확산하기 위한 멘토프로그램 운영ㅇ(100인의 아빠단) 3~7세 아동을 양육하는 지자체별 100명의 초보아빠
내역사업 출산육아기 고용안정 지원(대체인력뱅크),https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=201101913450350A0006&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,고용노동부 2023.01.01 ~ 2023.12.31,출산휴가  육아휴직 등에 따른 근로자의 업무공백을 보충할 수 있도록 대체인력 채용알선 종합서비스를 제공하여 기업의 부담을 덜어주고 근로자의 일·가정 양립 지원,●전산시스템을 활용하여 육아휴직 등에 따른 기업의 업종별·지역별 대체인력(구인) 수요 발굴 - 민간 취업전문기관의 온라인 구인 DB 및 사업주단체  업종별·직종별·지역별 협회  기업 등 다양한 네트워크를 활용하여 대체인력 수요 확보 ●대체인력(구직자) 풀 구성 - 출산.육아휴직자 및 시간선택제 전환(근로시간 단축)에 따른 대체인력 풀 구축 ●...,출산육아기 고용안정 지원(대체인력뱅크)출산휴가  육아휴직 등에 따른 근로자의 업무공백을 보충할 수 있도록 대체인력 채용알선 종합서비스를 제공하여 기업의 부담을 덜어주고 근로자의 일·가정 양립 지원●전산시스템을 활용하여 육아휴직 등에 따른 기업의 업종별·지역별 대체인력(구인) 수요 발굴- 민간 취업전문기관의 온라인 구인 DB 및 사업주단체  업종별·직종별·지역별 협회  기업 등 다양한 네트워크를 활용하여 대체인력 수요 확보●대체인력(구직자) 풀 구성- 출산.육아휴직자 및 시간선택제 전환(근로시간 단축)에 따른 대체인력 풀 구축●구직자 풀에 대해 기초소양 교육  직장적응 및 대체직무 교육 등 맞춤 교육훈련 실시●대체인력 구인수요 발생 시 적시에 대체인력취업 상담 및 추천(알선) 서비스 제공●대체인력 활용 활성화를 위한 고용센터  새일센터  지자체 일자리 센터  업종별·지역별 사업주단체  기업 등 네트워크 구축●대체인력뱅크 홍보 및 대체인력 관련 지원제도 안내 등을 통한 제도 활성화 추진●기업의 대체인력 활용 현황 모니터링  대체인력 사후관리  대체인력 활용 및 취업 우수사례 발굴 등대체인력뱅크를 활용하는 구인기업 및 구직자
내역사업 고용보험 미적용자 출산급여(제주도),https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=201901913390301A0002&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,고용노동부 2023.01.01 ~ 2023.12.31,고용보험 모성보호제도(출산전후휴가급여)의 사각지대 해소,고용보험 미적용으로 출산전후휴가급여를 받지 못하는 출산여성에게 총 150만원(월 50만원*3월분)의 출산급여 지급(1인사업자  특고·프리랜서 및 근로자),고용보험 미적용자 출산급여(제주도)고용보험 모성보호제도(출산전후휴가급여)의 사각지대 해소고용보험 미적용으로 출산전후휴가급여를 받지 못하는 출산여성에게 총 150만원(월 50만원*3월분)의 출산급여 지급(1인사업자  특고·프리랜서 및 근로자)고용보험 미적용 출산여성
내역사업 임신출산육아 등 종합정보제공,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=201407525350302A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,보건복지부 2023.01.01 ~ 2023.12.31,임신출산육아와 관련하여 사전 예방적이고 자신의 건강을 스스로 관리 할 수 있도록 정보접근 기회 확대 및 건강관리 능력제고,(임신  출산  육아  난임) 아이사랑 사이트(www.childcare.go.kr)를 통한 임신출산육아관련 대상자별(일반  다문화가정  장애인 등) 맞춤 건강정보 제공 및 상담센터 운영,임신출산육아 등 종합정보제공임신출산육아와 관련하여 사전 예방적이고 자신의 건강을 스스로 관리 할 수 있도록 정보접근 기회 확대 및 건강관리 능력제고(임신  출산  육아  난임)아이사랑 사이트(www.childcare.go.kr)를 통한 임신출산육아관련 대상자별(일반  다문화가정  장애인 등) 맞춤 건강정보 제공 및 상담센터 운영가임기 여성 및 임산부
내역사업 임신출산 모바일앱,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=201407525350302A0015&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,보건복지부 2023.01.01 ~ 2023.12.31,임신‧출산 콘텐츠를 모바일로 연계‧구현함으로써  온라인 임산부 신고 및 맞춤형 정보제공 등 임신‧출산 친화 환경 조성,○ (온라인 등록‧신청) : 모자보건법 상 신고(임산부  미숙아 등 출생)사항을 앱을 통해 신고하게 함으로써  선제적 서비스 제공체계 구축 ○ (정보제공) : 맞춤형 건강정보 등 제공 - 임신주수별  영유아 성장단계별 정보를 앱  SMS 등 선제적 안내 - 표준모자보건 종이수첩의 모바일 버전 실행(가칭 '내 손안의 임산부·영유...,임신출산 모바일앱임신‧출산 콘텐츠를 모바일로 연계‧구현함으로써  온라인 임산부 신고 및 맞춤형 정보제공 등 임신‧출산 친화 환경 조성○ (온라인 등록‧신청) : 모자보건법 상 신고(임산부  미숙아 등 출생)사항을 앱을 통해 신고하게 함으로써  선제적 서비스 제공체계 구축○ (정보제공) : 맞춤형 건강정보 등 제공- 임신주수별  영유아 성장단계별 정보를 앱  SMS 등 선제적 안내- 표준모자보건 종이수첩의 모바일 버전 실행(가칭 ‘내 손안의 임산부·영유아수첩’ 제공으로 건강정보 기록  예방접종 조회·일정알림  사진첨부 등 편의기능 마련)○ (서비스 통합신청) 등록된 임산부 등이 임신‧출산 지원 서비스를 안내받고  필요 시 앱을 통해 신청할 수 있도록 PHIS·사회보장정보시스템 등과 연계(소득재산조사 등)한 통합신청체계* 마련* 영유아 사전예방적 건강관리  고위험 임산부 의료비 지원임산부
내역사업 장애인건강보건 전달체계,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=201807515420307A0011&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,보건복지부 2023.01.01 ~ 2023.12.31,장애인 건강보건관리 시도단위 전달체계인 지역장애인보건의료센터 운영비 지원 및 시군구 실행단위인 보건소 지역사회중심재활(CBR) 사업 수행,장애인 건강 보건의료 및 재활의료사업 지원  건강검진 등 의료서비스 제공  여성장애인의 출산 등 전문의료서비스 제공  장애인 관련 의료종사자 교육 훈련,장애인건강보건 전달체계장애인 건강보건관리 시도단위 전달체계인 지역장애인보건의료센터 운영비 지원 및 시군구 실행단위인 보건소 지역사회중심재활(CBR) 사업 수행장애인 건강 보건의료 및 재활의료사업 지원  건강검진 등 의료서비스 제공  여성장애인의 출산 등 전문의료서비스 제공  장애인 관련 의료종사자 교육 훈련지역장애인보건의료센터보건소 CBR
내역사업 다문화가족 특성화사업,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=202107623560432D0003&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,여성가족부 2023.01.01 ~ 2023.12.31,○ 다문화가족 지원 - 결혼이민자  중도입국 자녀 등 다문화가족이 한국의 일상생활과 사회생활에 적응할수 있도록 지원,방문교육  언어발달지원  통번역 서비스 등 - 지리적 여건 등으로 센터 이용이 어려운 다문화가족을 대상으로 자녀양육 및 자녀생활 지원  한국어 교육 등 맞춤형 서비스 제공 - 다문화가족 자녀의 언어발달 상태를 평가하고  의사소통에 어려움을 가진 아동에게 언어교육 실시하고  다문화부모를 대상으로 교육 방법을 제공함으로써 아동의 언어발달 촉진 도모 - 한...,다문화가족 특성화사업○ 다문화가족 지원- 결혼이민자  중도입국 자녀 등 다문화가족이 한국의 일상생활과 사회생활에 적응할수 있도록 지원방문교육  언어발달지원  통번역 서비스 등- 지리적 여건 등으로 센터 이용이 어려운 다문화가족을 대상으로 자녀양육 및 자녀생활 지원  한국어 교육 등 맞춤형 서비스 제공- 다문화가족 자녀의 언어발달 상태를 평가하고  의사소통에 어려움을 가진 아동에게 언어교육 실시하고  다문화부모를 대상으로 교육 방법을 제공함으로써 아동의 언어발달 촉진 도모- 한국말이 서툰 결혼이민자의 가족･사회생활에 필요한 의사소통을 지원하기 위한 통･번역서비스 제공- 결혼이민자  중도입국자녀가 한국어를 학습하여 한국의 일상생활과 사회생활에 적응할 수 있도록 지원- 방문한국어서비스: 최초입국 5년이하 결혼이민자  중도입국자녀- 방문부모교육서비스 : 생애주기별 각1회 지원(임신출산영아기  유아기  아동기)- 방문자녀생활서비스: 만3세~만12세 이하 다문화가족 자녀.중도입국자녀- 언어발달지원사업 : 언어평가 및 언어교육이 필요한 다문화가족 자녀 등(만12세 이하)- 결혼이민자통번역서비스 : 다문화가족 및 다문화가족을 직.간접적으로 지원하는 개인 또는 기관
