url,title,startdate,enddate,org,subtitle,subcontents
내역사업 임신출산육아 등 종합정보제공,"https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2021&viewDtlbzId=201407525350302A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.19&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC,RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.19&rTotalCount=3037&mainTotalCount=58&detailTotalCount=2979&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2021&selSido=&selSigungu=",2021.01.01 , 2021.12.31,보건복지부 2021.01.01 ~ 2021.12.31,임신출산육아와 관련하여 사전 예방적이고 자신의 건강을 스스로 관리 할 수 있도록 정보접근 기회 확대 및 건강관리 능력제고,"(임신, 출산, 육아, 난임) 아이사랑 사이트(www.childcare.go.kr)를 통한 임신출산육아관련 대상자별(일반, 다문화가정, 장애인 등) 맞춤 건강정보 제공 및 상담센터 운영"
내역사업 여성장애인 출산비용지원,"https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2021&viewDtlbzId=200807515320306A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.19&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC,RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.19&rTotalCount=3037&mainTotalCount=58&detailTotalCount=2979&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2021&selSido=&selSigungu=",2021.01.01 , 2021.12.31,보건복지부 2021.01.01 ~ 2021.12.31,"임신과 출산 시 여성장애인에게 출산비용을 지원함으로써, 경제적 부담을 경감하고 출산 친화적인 문화 조성","(여성장애인, 임신 및 출산, 출산비용)태아 1인 기준 1백만원 지원"
내역사업 저출산 극복 지역네트워크 구축사업 지원,"https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2021&viewDtlbzId=200907525370301A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.19&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC,RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.19&rTotalCount=3037&mainTotalCount=58&detailTotalCount=2979&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2021&selSido=&selSigungu=",2021.01.01 , 2021.12.31,보건복지부 2021.01.01 ~ 2021.12.31,결혼.출산. 양육 및 가족 친화적 사회분위기 조성,"중앙-지방 간 유기적인 협력망 구축, 지자체와 공동 캠페인 추진, 지자체별 특성에 맞는 저출산 극복 인식개선 프로그램 지원"
내역사업 고용보험 미적용자 출산급여(고용부),"https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2021&viewDtlbzId=201901913390301A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.19&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC,RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.19&rTotalCount=3037&mainTotalCount=58&detailTotalCount=2979&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2021&selSido=&selSigungu=",2020.01.01 , 2021.12.31,고용노동부 2020.01.01 ~ 2021.12.31,고용보험 모성보호제도(출산전후휴가급여)의 사각지대 해소,"고용보험 미적용으로 출산전후휴가급여를 받지 못하는 출산여성에게 총 150만원(월 50만원*3월분) 출산급여 지급(1인사업자, 특고·프리랜서 및 근로자)"
내역사업 고용보험 미적용자 출산급여(제주도),"https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2021&viewDtlbzId=201901913390301A0002&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.19&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC,RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.19&rTotalCount=3037&mainTotalCount=58&detailTotalCount=2979&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2021&selSido=&selSigungu=",2021.01.01 , 2021.12.31,고용노동부 2021.01.01 ~ 2021.12.31,고용보험 모성보호제도(출산전후휴가급여)의 사각지대 해소,"고용보험 미적용으로 출산전후휴가급여를 받지 못하는 출산여성에게 총 150만원(월 50만원*3월분)의 출산급여 지급(1인사업자, 특고·프리랜서 및 근로자)"
내역사업 차오름어린이집 운영,"https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2021&viewDtlbzId=202010122310302B0024&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.19&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC,RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.19&rTotalCount=3037&mainTotalCount=58&detailTotalCount=2979&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2021&selSido=&selSigungu=",2021.01.01 , 2021.12.31,행정안전부 2021.01.01 ~ 2021.12.31,"○ 직장 보육시설(어린이집) 운영을 지원하여 최적의 보육서비스 제공 ○ 저출산 고령화 시대를 고려, 출산 장려를 위한 보육하기 좋은 환경 조성",세종청사 차오름어린이집 운영지원(보육교직원 인건비 보조 등)
내역사업 집단상담프로그램운영등(민간새일센터),"https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2021&viewDtlbzId=201801913450359A0008&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.19&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC,RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.19&rTotalCount=3037&mainTotalCount=58&detailTotalCount=2979&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2021&selSido=&selSigungu=",2021.01.01 , 2021.12.31,고용노동부 2021.01.01 ~ 2021.12.31,경력단절여성 대상 맞춤형취업지원서비스 제공(고용센터 주관),"혼인, 임신, 출산, 육아 등으로 경력이 단절된 여성에게 새일센터를 통해 종합적인 취업지원소비스 제공"
내역사업 집단상담프로그램운영등(자치단체새일센터),"https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2021&viewDtlbzId=201801913450359A0002&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.19&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC,RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.19&rTotalCount=3037&mainTotalCount=58&detailTotalCount=2979&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2021&selSido=&selSigungu=",2021.01.01 , 2021.12.31,고용노동부 2021.01.01 ~ 2021.12.31,경력단절여성에 대한 맞춤형취업지원서비스를 제공하여 이들의 경제활동 촉진(자치단체 주관),"임신, 출산, 육아 등으로 경력이 단절된 여성에게 여성새로일하기센터를 통해 종합취업지원서비스 제공"
내역사업 학교인구교육 지원,"https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2021&viewDtlbzId=201307525330300C0010&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.19&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC,RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.19&rTotalCount=3037&mainTotalCount=58&detailTotalCount=2979&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2021&selSido=&selSigungu=",2021.01.01 , 2021.12.31,보건복지부 2021.01.01 ~ 2021.12.31,"초중고등학생, 교사 등 대상 학교인구교육 지원을 통해 결혼, 출산, 양육 및 가족생활에 대한 합리적인 가치관 형성 지원","인구교육 연구선도학교 운영, 대학 인구교육 강좌개설 지원, 교사 인구교육 수업경진대회 개최 등"
내역사업 인구교육 인프라 확대,"https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2021&viewDtlbzId=201307525330300C0012&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.19&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC,RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.19&rTotalCount=3037&mainTotalCount=58&detailTotalCount=2979&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2021&selSido=&selSigungu=",2021.01.01 , 2021.12.31,보건복지부 2021.01.01 ~ 2021.12.31,"인구교육 인프라 확산을 통해 결혼, 출산, 양육 및 가족생활에 대한 합리적 가치관 형성 지원","인구교육 전문인력양성 및 보수교육, 인구교육 교재개발 보급, 인구교육 홈페이지 관리 등"
