url,title,startdate,enddate,org,subtitle,subcontents
내역사업 고용보험 미적용자 출산급여(고용부),https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=201901913390301A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,고용노동부 2023.01.01 ~ 2023.12.31,고용보험 모성보호제도(출산전후휴가급여)의 사각지대 해소,고용보험 미적용으로 출산전후휴가급여를 받지 못하는 출산여성에게 총 150만원(월 50만원*3월분) 출산급여 지급(1인사업자  특고·프리랜서 및 근로자)
내역사업 여성장애인 출산비용지원,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=200807515320306A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,보건복지부 2023.01.01 ~ 2023.12.31,임신과 출산 시 여성장애인에게 출산비용을 지원함으로써  경제적 부담을 경감하고 출산 친화적인 문화 조성,(여성장애인  임신 및 출산  출산비용)태아 1인 기준 1백만원 지원
내역사업 민간이 선도하는 출산인식 전환사업,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=200907525370301A0004&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,보건복지부 2023.01.01 ~ 2023.12.31,친숙한 매체활용하여 현 인구문제에 대한 자연스러운 대국민 공감대 형성 및 행동변화를 위해 민간주도 캠페인 추진,□ 인구정책 포럼 ○ (중앙) 국내 저출산·고령화 등의 인구문제에 대한 인구  보건  보육  교육  경제 등 분야별 전문가들의 분석 및 이에 대한 해결·대응방안 모색 ○ (지역) 지역별 인구변동 현황(이동  지역소멸 등)을 파악하고 지역별 추진되는 주요정책과 그 효과성  향후 필요한 지역정책 등 논의 - 도시유형별(수도권  권역대도시  농...
내역사업 지자체가 선도하는 출산인식 전환사업,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=200907525370301A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,보건복지부 2023.01.01 ~ 2023.12.31,지자체 중심결혼.출산. 양육 및 가족 친화적 사회분위기 조성,아빠육아 실천법을 안내하고 육아하는 아빠들의 지역 커뮤니티를 지속 확산하기 위한 멘토프로그램 운영
내역사업 출산육아기 고용안정 지원(대체인력뱅크),https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=201101913450350A0006&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,고용노동부 2023.01.01 ~ 2023.12.31,출산휴가  육아휴직 등에 따른 근로자의 업무공백을 보충할 수 있도록 대체인력 채용알선 종합서비스를 제공하여 기업의 부담을 덜어주고 근로자의 일·가정 양립 지원,●전산시스템을 활용하여 육아휴직 등에 따른 기업의 업종별·지역별 대체인력(구인) 수요 발굴 - 민간 취업전문기관의 온라인 구인 DB 및 사업주단체  업종별·직종별·지역별 협회  기업 등 다양한 네트워크를 활용하여 대체인력 수요 확보 ●대체인력(구직자) 풀 구성 - 출산.육아휴직자 및 시간선택제 전환(근로시간 단축)에 따른 대체인력 풀 구축 ●...
내역사업 고용보험 미적용자 출산급여(제주도),https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=201901913390301A0002&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,고용노동부 2023.01.01 ~ 2023.12.31,고용보험 모성보호제도(출산전후휴가급여)의 사각지대 해소,고용보험 미적용으로 출산전후휴가급여를 받지 못하는 출산여성에게 총 150만원(월 50만원*3월분)의 출산급여 지급(1인사업자  특고·프리랜서 및 근로자)
내역사업 임신출산육아 등 종합정보제공,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=201407525350302A0001&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,보건복지부 2023.01.01 ~ 2023.12.31,임신출산육아와 관련하여 사전 예방적이고 자신의 건강을 스스로 관리 할 수 있도록 정보접근 기회 확대 및 건강관리 능력제고,(임신  출산  육아  난임) 아이사랑 사이트(www.childcare.go.kr)를 통한 임신출산육아관련 대상자별(일반  다문화가정  장애인 등) 맞춤 건강정보 제공 및 상담센터 운영
내역사업 임신출산 모바일앱,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=201407525350302A0015&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,보건복지부 2023.01.01 ~ 2023.12.31,임신‧출산 콘텐츠를 모바일로 연계‧구현함으로써  온라인 임산부 신고 및 맞춤형 정보제공 등 임신‧출산 친화 환경 조성,○ (온라인 등록‧신청) : 모자보건법 상 신고(임산부  미숙아 등 출생)사항을 앱을 통해 신고하게 함으로써  선제적 서비스 제공체계 구축 ○ (정보제공) : 맞춤형 건강정보 등 제공 - 임신주수별  영유아 성장단계별 정보를 앱  SMS 등 선제적 안내 - 표준모자보건 종이수첩의 모바일 버전 실행(가칭 '내 손안의 임산부·영유...
내역사업 장애인건강보건 전달체계,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=201807515420307A0011&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,보건복지부 2023.01.01 ~ 2023.12.31,장애인 건강보건관리 시도단위 전달체계인 지역장애인보건의료센터 운영비 지원 및 시군구 실행단위인 보건소 지역사회중심재활(CBR) 사업 수행,장애인 건강 보건의료 및 재활의료사업 지원  건강검진 등 의료서비스 제공  여성장애인의 출산 등 전문의료서비스 제공  장애인 관련 의료종사자 교육 훈련
내역사업 다문화가족 특성화사업,https://www.gosims.go.kr/hh/hh001/retrieveDtlbzDetail.do?bsnsyear=2023&viewDtlbzId=202107623560432D0003&menuId=USRM_10139&pageDiv=Search&query=%EC%B6%9C%EC%82%B0&startCount=0&sort=RANK&collection=bsns&range=A&startDate=1970.01.01&endDate=2023.04.25&reQuery=&realQuery=%EC%B6%9C%EC%82%B0&pssrp_sort=RANK&bsns_sort=BSNS_SE/ASC RANK&faq_sort=RANK&menual_sort=RANK&etc_sort=RANK&tarAll=&tarTitle=&tarContents=&registDdCnFo=1970.01.01&registDdCnTo=2023.04.25&rTotalCount=1625&mainTotalCount=30&detailTotalCount=1595&bsnsBegin=&bsnsEnd=&bsnsTerm=&bsnsSe=&backBtnText=%EC%9D%B4%EC%A0%84%EC%9C%BC%EB%A1%9C&backBtnFnc=f_go_seachWise&selectYear=2023&selSido=&selSigungu=,2023.01.01 , 2023.12.31,여성가족부 2023.01.01 ~ 2023.12.31,○ 다문화가족 지원 - 결혼이민자  중도입국 자녀 등 다문화가족이 한국의 일상생활과 사회생활에 적응할수 있도록 지원,방문교육  언어발달지원  통번역 서비스 등 - 지리적 여건 등으로 센터 이용이 어려운 다문화가족을 대상으로 자녀양육 및 자녀생활 지원  한국어 교육 등 맞춤형 서비스 제공 - 다문화가족 자녀의 언어발달 상태를 평가하고  의사소통에 어려움을 가진 아동에게 언어교육 실시하고  다문화부모를 대상으로 교육 방법을 제공함으로써 아동의 언어발달 촉진 도모 - 한...
