"동별(1)","동별(2)",항목,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4,2021 4/4
"동별(1)","동별(2)",항목,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"동별(1)","동별(2)",항목,소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"합계","소계",한국인,9509458,244538,339145,367879,388257,603077,819200,736001,703278,729566,751214,801892,705302,722662,563260,396569,299231,199138,95871,33815,7920,1643
"합계","종로구",한국인,144683,2720,4264,4934,5447,9965,12837,10302,9168,9909,11060,13100,11857,11511,8841,6254,5383,4078,2071,750,200,32
"합계","중구",한국인,122499,2927,3372,3053,3421,7369,10940,10388,9498,8807,8572,10364,9679,10072,8011,5628,4593,3284,1683,667,145,26
"합계","용산구",한국인,222953,5805,6848,6951,7741,13290,19488,19678,18041,16823,16958,19321,16801,16656,12513,8771,7189,5602,2989,1139,278,71
"합계","성동구",한국인,285990,9179,10043,8998,9905,18539,24924,23247,23568,22018,21328,24154,22000,21886,15882,11156,8955,6075,2927,963,195,48
"합계","광진구",한국인,339996,7338,10406,11867,12907,24936,36680,29483,25232,24851,25619,28389,25412,25426,18726,12461,9472,6503,2992,1003,243,50
"합계","동대문구",한국인,337400,8705,10885,10905,11862,25705,30566,24792,24231,24494,24508,27250,24993,26495,21037,15029,12261,8271,3872,1202,268,69
"합계","중랑구",한국인,387350,9422,11863,12040,13392,22060,32068,29458,27567,27764,27946,34058,33460,34692,26013,17833,13343,8751,3951,1305,297,67
"합계","성북구",한국인,430528,11266,16060,17256,18730,31505,34075,28652,29763,32080,35366,37852,31428,31950,24853,17794,14670,10338,4798,1676,351,65
"합계","강북구",한국인,299182,5696,8452,9722,11074,18441,22560,18649,18471,20592,23331,26958,24742,26276,20896,16210,13094,8712,3795,1187,279,45
"합계","도봉구",한국인,317366,6885,10159,11444,12867,19192,22304,19320,19926,21787,24369,29016,26990,28993,22373,15428,12055,8475,4003,1388,303,89
"합계","노원구",한국인,510956,12124,18534,23464,26848,35634,34322,30741,32397,37593,44177,47671,39358,39822,30925,21066,16230,11545,5848,2117,454,86
"합계","은평구",한국인,473307,11533,16122,17625,19583,28231,37051,33437,33590,35916,38187,41176,36068,37750,29265,21494,17027,11731,5358,1708,383,72
"합계","서대문구",한국인,304819,8062,10819,10579,11914,21754,27142,22483,21752,22134,23116,25994,22646,22602,17098,12582,10706,7918,3884,1275,286,73
"합계","마포구",한국인,368905,10313,13348,13622,14083,25024,36329,32583,31014,29601,30218,30318,24644,23577,17628,12667,10711,7731,3790,1348,284,72
"합계","양천구",한국인,447302,10678,18856,24587,24885,27320,30068,26581,29076,36132,40376,41318,34852,34090,26190,17463,11752,7557,3743,1398,323,57
"합계","강서구",한국인,574315,15619,21027,21245,22272,32819,52833,51062,46769,45631,43635,43859,40549,44659,34723,23443,15962,10338,5265,2039,484,82
"합계","구로구",한국인,396754,11574,14393,14493,14698,22272,31431,30998,30073,30647,30536,32222,30072,31900,25589,18653,13319,8389,3899,1251,303,42
"합계","금천구",한국인,230811,5245,6431,6510,7445,13636,23566,20180,16390,15349,16289,19488,19860,19980,14584,10379,7595,4810,2166,722,156,30
"합계","영등포구",한국인,376837,11775,12981,11613,12027,21540,37153,36986,32417,28450,26991,29279,26983,27347,20903,15360,11507,7903,4047,1235,287,53
"합계","동작구",한국인,385483,9868,13124,12948,14019,26670,38212,32231,28595,28567,28640,30781,27292,28216,22262,16738,12844,8526,4091,1413,362,84
"합계","관악구",한국인,485699,8520,11323,12351,14706,37871,70283,50223,35333,32743,32800,35090,31935,33150,26820,20807,15833,10042,4144,1349,315,61
"합계","서초구",한국인,412279,11980,19719,23031,21446,23652,28357,28741,30804,36718,38360,35796,26783,26318,21777,15512,11226,6799,3420,1365,382,93
"합계","강남구",한국인,533042,12363,22363,29794,29347,31679,39095,38337,39325,47322,50407,47259,34697,32976,28551,20157,14410,8455,4145,1782,472,106
"합계","송파구",한국인,658338,20263,28110,28956,28679,38241,52181,52908,53722,54905,52304,54008,47606,48952,38584,24774,16486,9796,5206,2039,528,90
"합계","강동구",한국인,462664,14678,19643,19891,18959,25732,34735,34541,36556,38733,36121,37171,34595,37366,29216,18910,12608,7509,3784,1494,342,80
