subway_name,station_name,elevator,escalator,horizontal_walker,wheelchair_lift,Movable_safety_footrest,electric_wheelchair_rapid_charger,Disabled_toilets,voice_guides,sign_language_video_cellphone
1,서울역,4,5,0,1,1,0,1,33,1
1,시청역,3,3,0,0,1,0,1,32,1
1,종각역,4,2,0,0,1,1,2,38,0
1,종로3가역,3,4,0,0,1,1,2,48,1
1,종로5가역,3,0,0,0,1,0,1,32,0
1,동대문역,3,1,0,0,1,0,1,4,0
1,동묘앞역,7,12,0,0,1,1,4,37,0
1,신설동역,5,0,0,5,1,0,1,0,0
1,제기동역,3,2,0,0,1,1,1,0,0
1,청량리역,1,4,0,2,1,0,1,0,1
2,시청역,2,4,0,0,1,0,2,0,1
2,을지로입구역,4,6,0,0,2,0,1,38,0
2,을지로3가역,2,0,0,0,1,0,1,32,0
2,을지로4가역,3,2,0,0,1,0,1,33,0
2,"동대문역사
문화공원",3,2,0,0,1,1,1,29,1
2,신당역,3,2,0,0,1,0,1,28,0
2,상왕십리역,3,8,0,0,1,1,1,35,0
2,왕십리역,2,8,0,0,1,0,1,44,1
2,한양대역,2,2,0,1,1,1,1,31,0
2,뚝섬역,4,8,0,0,1,1,1,0,0
2,성수역,4,8,0,0,1,1,1,0,0
2,건대입구역,2,2,0,0,1,1,1,35,1
2,구의역,2,6,0,0,1,0,1,0,0
2,강변역,2,2,0,0,1,0,1,23,0
2,잠실나루,2,4,0,0,1,0,1,0,0
2,잠실역,4,6,0,1,1,0,1,33,1
2,잠실새내역,4,11,0,0,1,0,1,36,0
2,종합운동장역,3,5,0,0,1,0,2,38,1
2,삼성역,5,4,0,1,1,0,1,35,0
2,선릉역,3,2,0,0,2,1,1,0,1
2,역삼역,4,14,0,0,1,0,1,33,0
2,강남역,4,0,0,0,2,0,1,18,1
2,교대역,3,2,0,0,1,0,1,0,1
2,서초역,4,8,0,0,1,1,1,36,0
2,방배역,3,2,0,0,1,0,1,27,0
2,사당역,3,12,0,0,3,1,2,35,1
2,낙성대역,3,8,0,0,1,0,1,30,0
2,서울대입구역,3,8,0,0,1,0,1,37,0
2,봉천역,2,8,0,0,1,0,1,20,0
2,신림역,3,4,0,0,1,0,1,1,0
2,신대방역,3,8,0,0,1,0,1,31,0
2,구로디지털단지역,4,4,0,0,1,0,1,27,0
2,대림역,4,6,0,0,1,1,1,0,0
2,신도림역,4,9,0,0,1,1,2,39,1
2,문래역,4,4,0,0,1,0,1,32,0
2,영등포구청역,4,2,0,0,1,0,1,0,1
2,당산역,4,1,0,0,1,0,1,0,0
2,합정역,4,4,0,0,1,0,1,26,0
2,홍대입구역,2,8,0,0,1,0,1,29,1
2,신촌역,4,4,0,0,1,0,1,0,0
2,이대역,3,4,0,0,1,1,1,19,0
2,아현역,4,2,0,0,1,1,1,2,0
2,충정로역,2,4,0,0,1,1,1,0,0
2,신설동역,2,0,0,6,1,0,1,17,0
2,용두역,4,12,0,0,1,0,4,19,0
2,신답역,2,0,0,0,1,0,1,0,0
2,용답역,0,0,0,2,1,0,1,0,0
2,도림천역,2,0,0,0,1,0,1,0,0
2,양천구청역,3,2,0,0,1,0,1,14,0
2,신정네거리역,3,4,0,1,1,0,1,0,0
3,지축역,1,0,0,0,1,0,0,0,0
3,구파발역,2,4,0,0,1,0,1,3,0
3,연신내역,1,4,0,0,1,0,1,22,0
3,불광역,3,2,0,0,1,1,1,28,0
3,녹번역,3,2,0,0,1,0,1,21,0
3,홍제역,3,0,0,0,1,0,1,24,0
3,무악재역,3,0,0,0,1,1,1,0,0
3,독립문역,2,6,0,0,1,1,1,19,0
3,경복궁역,2,10,0,0,1,0,1,37,0
3,안국역,2,10,0,0,1,1,1,0,0
3,종로3가역,2,6,2,0,1,0,2,41,1
3,을지로3가역,2,2,0,0,1,0,1,39,0
3,충무로역,0,0,0,0,1,0,0,3,0
3,동대입구역,3,4,0,0,1,0,1,0,0
3,약수역,2,2,0,0,1,0,1,1,0
3,금호역,3,4,0,0,1,0,1,0,0
3,옥수역,3,4,0,0,1,1,2,1,0
3,압구정역,4,9,0,0,1,0,1,3,0
3,신사역,4,6,0,0,1,0,1,0,0
3,잠원역,3,0,0,0,1,1,1,0,0
3,고속터미널역,2,24,0,1,1,0,0,35,1
3,교대역,2,2,0,1,1,0,1,25,1
3,남부터미널역,3,2,0,0,1,0,1,36,0
3,양재역,4,2,0,0,1,0,1,35,1
3,매봉역,3,4,0,0,1,0,1,0,0
3,도곡역,0,8,0,0,1,0,1,0,0
3,대치역,2,8,0,0,1,0,1,0,0
3,학여울역,3,2,0,0,1,0,1,0,0
3,대청역,3,4,0,0,1,0,1,35,0
3,일원역,4,6,0,0,1,0,1,0,0
3,수서역,4,12,0,0,1,1,1,0,0
3,가락시장,3,22,0,0,1,1,2,30,0
3,경찰병원,4,20,0,0,1,0,2,26,0
3,오금,3,15,0,0,1,0,2,28,0
4,당고개역,3,4,0,0,1,0,2,0,0
4,상계역,1,4,0,2,1,0,1,0,0
4,노원역,4,4,0,0,1,0,1,27,1
4,창동역,6,6,0,4,1,1,1,0,0
4,쌍문역,3,6,0,0,1,1,1,26,0
4,수유역,3,4,0,0,1,1,1,38,0
4,미아역,3,6,0,0,1,0,1,32,0
4,미아사거리역,2,2,0,0,1,1,1,29,0
4,길음역,3,3,0,0,1,0,1,34,0
4,성신여대입구역,4,4,0,0,2,0,1,30,0
4,한성대입구역,3,2,0,0,1,1,1,0,0
4,혜화역,4,4,0,0,1,1,1,0,0
4,동대문역,2,10,0,0,1,1,1,40,0
4,"동대문역사
문화공원",2,6,0,0,1,1,2,31,1
4,충무로역,4,23,0,1,1,1,1,50,1
4,명동역,2,5,0,0,1,0,1,27,0
4,회현역,2,6,0,0,1,0,1,41,0
4,서울역,2,4,0,1,1,0,1,23,1
4,숙대입구역,3,0,0,0,1,1,1,37,0
4,삼각지역,5,4,0,0,1,1,1,38,1
4,신용산역,4,9,0,0,1,0,1,2,0
4,이촌역,5,4,0,1,1,0,1,0,0
4,동작역,2,0,0,0,1,1,1,26,0
4,총신대입구역,4,4,0,0,1,1,1,29,0
4,사당역,2,7,0,1,1,1,3,31,1
4,남태령역,3,2,0,0,1,0,1,0,0
5,방화,3,6,0,0,1,1,1,10,0
5,개화산,2,0,0,0,2,1,1,16,0
5,김포공항,2,8,2,0,2,0,2,24,1
5,송정,4,4,0,0,1,0,1,17,0
5,마곡,6,12,0,0,0,0,1,23,0
5,발산,3,0,0,0,2,0,1,17,0
5,우장산,3,4,0,0,1,0,1,16,0
5,화곡,2,4,0,0,1,0,1,16,0
5,까치산,2,12,0,3,0,0,1,21,0
5,신정,2,10,0,0,1,0,1,21,0
5,목동,3,4,0,0,1,0,1,15,0
5,오목교,3,10,0,0,1,0,1,30,0
5,양평,3,8,0,0,1,0,1,19,0
5,영등포구청,4,14,0,2,1,0,1,24,1
5,영등포시장,3,8,0,0,2,0,1,22,0
5,신길,6,9,0,0,1,0,1,21,0
5,여의도,2,4,0,0,1,0,1,26,0
5,여의나루,3,11,0,0,1,0,1,11,0
5,마포,2,10,0,0,1,0,1,14,0
5,공덕,2,11,0,0,1,1,1,24,0
5,애오개,5,6,0,0,1,1,1,19,0
5,충정로,2,4,0,0,1,1,1,16,0
5,서대문,3,10,0,1,1,1,1,16,0
5,광화문,2,4,0,0,1,1,1,23,0
5,종로3가,1,10,0,1,0,0,1,22,1
5,을지로4가,1,11,0,0,1,0,1,20,0
