楷档,唱捞措喊,钦拌免魂啦
2016,15-19技,1.3
2016,20-24技,11.5
2016,25-29技,56.4
2016,30-34技,110.1
2016,35-39技,48.7
2016,40-44技,5.9
2016,45-49技,0.2
2017,15-19技,1
2017,20-24技,9.6
2017,25-29技,47.9
2017,30-34技,97.7
2017,35-39技,47.2
2017,40-44技,6
2017,45-49技,0.2
2018,15-19技,0.9
2018,20-24技,8.2
2018,25-29技,41
2018,30-34技,91.4
2018,35-39技,46.1
2018,40-44技,6.4
2018,45-49技,0.2
2019,15-19技,0.8
2019,20-24技,7.1
2019,25-29技,35.7
2019,30-34技,86.2
2019,35-39技,45
2019,40-44技,7
2019,45-49技,0.2
2020,15-19技,0.7
2020,20-24技,6.2
2020,25-29技,30.6
2020,30-34技,78.9
2020,35-39技,42.3
2020,40-44技,7.1
2020,45-49技,0.2
2021,15-19技,0.4
2021,20-24技,5
2021,25-29技,27.5
2021,30-34技,76.1
2021,35-39技,43.5
2021,40-44技,7.6
2021,45-49技,0.2
