"연도","시군구별","문화예술관람활동","문화예술참여활동","스포츠관람활동","스포츠참여활동","관광활동","취미오락활동","휴식활동","사회및.기타활동"
2016,"서울특별시",5.4,1.3,3.5,7.9,3.5,17.4,16.8,11.6
2016,"부산광역시",1.1,0.3,0.8,2,0.7,6.1,6.1,4.5
2016,"대구광역시",0.8,0.2,0.6,1.4,0.6,4.1,4.3,3.9
2016,"인천광역시",1.4,0.4,1.1,2.8,1.1,4.9,4.8,3
2016,"광주광역시",0.5,0.1,0.3,0.8,0.4,2.6,2.8,1.7
2016,"대전광역시",0.6,0.2,0.5,1.2,0.5,2.7,2.6,1.8
2016,"울산광역시",0.5,0.1,0.2,1.1,0.4,2,2,1.3
2016,"세종특별자치시",0.1,0,0.1,0.2,0.1,0.4,0.4,0.2
2016,"경기도",4.4,1.5,3.2,10.3,5.3,21.1,19.3,14
2016,"강원도",0.8,0.3,0.4,0.9,0.7,2.3,2.7,1.9
2016,"충청북도",0.6,0.1,0.4,0.8,0.4,2.7,2.8,2.1
2016,"충청남도",0.5,0.3,0.7,1.6,0.7,3.5,3.8,2.3
2016,"전라북도",0.3,0.2,0.3,1,0.3,3,3.5,2.4
2016,"전라남도",0.2,0.1,0.3,0.8,0.3,3,3.5,2.2
2016,"경상북도",0.8,0.2,0.5,1.3,0.6,4.3,4.9,4.1
2016,"경상남도",0.9,0.3,1.1,2,1.1,5.4,5.6,4.6
2016,"제주특별자치도",0.2,0.1,0.2,0.3,0.2,0.9,1,0.7
2018,"서울특별시",32,7.3,17.3,40.5,20.6,91.7,81.7,61.3
2018,"부산광역시",19.9,3.3,9,32.4,15.7,94.6,84.4,62.9
2018,"대구광역시",10.5,2.5,12.7,27.2,9.9,87.5,97.6,68.8
2018,"인천광역시",27.3,7.8,23,35.1,10.9,90.8,82,62.1
2018,"광주광역시",10.2,1.3,15.1,17.5,5.9,90.5,95.2,78.7
2018,"대전광역시",24.8,11,19.5,35.6,13.5,88.3,82.8,73.9
2018,"울산광역시",33.8,8.9,21.7,41.5,37.1,89.8,77.7,48.3
2018,"세종특별자치시",21.2,9.1,16.5,40.2,11.2,87.5,84.5,69.8
2018,"경기도",22.5,8.4,16.8,43,14.3,92,82.8,60.4
2018,"강원도",25.3,7.4,14.4,29.6,18.9,81.7,86.7,73.9
2018,"충청북도",10.7,9.8,9.4,39.8,7.1,88.9,89.1,83.1
2018,"충청남도",18.7,8.3,17,28.7,18.7,91.9,81.7,71.1
2018,"전라북도",13.1,2,13,20.7,4,90.2,96.9,53.3
2018,"전라남도",2.6,3.3,11.8,19.4,2.9,86.7,97.5,74.6
2018,"경상북도",8.6,3.3,11.3,23.7,8.2,84.4,97.1,75.4
2018,"경상남도",12.7,4.2,10.8,33.4,15,91.8,90.4,70.4
2018,"제주특별자치도",35.3,9.4,21.8,43.6,23.4,86.2,69.7,65
2019,"서울특별시",16.6,6,21.1,27,13.2,88.2,91,64.2
2019,"부산광역시",12.7,2,11.1,29.8,10.7,87.3,94.5,55.4
2019,"대구광역시",17.8,4.6,5.7,21.5,19.3,78.2,93.7,70.3
2019,"인천광역시",17.6,6.6,14.2,24.2,14.2,90,90.1,70.1
2019,"광주광역시",19.9,4,13.2,24.2,9.5,84.1,91,75.7
2019,"대전광역시",22.4,5.9,15,24.7,16.8,87.8,93.3,63.8
2019,"울산광역시",21.1,4.5,8.6,31.8,18.9,86.1,91.8,63
2019,"세종특별자치시",13.4,5.1,12.7,33.7,8.9,84.3,94.5,55.3
2019,"경기도",19.2,5.1,22.1,22.9,17.4,86,93.3,67.2
2019,"강원도",16.9,4.2,22.6,25.1,18.6,78.9,95.6,74.2
2019,"충청북도",10.6,5.4,11.3,20.9,17.3,93.2,93.5,47.5
2019,"충청남도",14.2,4.9,9,26.5,20.2,83.4,92.6,66.8
2019,"전라북도",13,6.1,8.4,29.5,13.4,84.3,90.5,82
2019,"전라남도",13.9,4.8,15,25,14.2,85,94.2,65.6
2019,"경상북도",17.1,4.3,7.3,24.6,22.6,84.6,87,67.5
2019,"경상남도",11.4,5.4,20.2,26.9,16.5,84.3,87.2,65.2
2019,"제주특별자치도",18,2.3,15.4,27.6,13.8,76.4,97.4,55.6
2020,"서울특별시",18.8,4.8,11,31.6,16,83.7,85.4,57.9
2020,"부산광역시",4.6,2.6,11.1,28.6,5.3,85.1,92.7,65.4
2020,"대구광역시",9.8,4.3,10.4,30.4,13.6,82.1,93.5,69.6
2020,"인천광역시",12.4,4.1,10.2,25.5,9,87.8,93,68.7
2020,"광주광역시",10.6,3.5,16.4,46.9,25.2,83,90.2,57.3
2020,"대전광역시",4,2.6,6.4,22.5,6,92.1,95.4,69.2
2020,"울산광역시",3.5,2.1,1.4,23.1,4.6,83.6,97.7,48.4
2020,"세종특별자치시",0,2.6,0,16.7,7.8,90.5,100,78
2020,"경기도",17.3,4.7,11.6,31.2,17.8,84.6,88.3,55.6
2020,"강원도",10.6,4,8.3,21.6,15.6,77.4,91.2,74.8
2020,"충청북도",6.1,4.5,5.1,17.4,6.6,88.1,99.1,73.7
2020,"충청남도",2.2,2.6,11.7,18.5,10.3,89.3,95.9,76.7
2020,"전라북도",19.2,4.9,13.5,28.4,26.8,74.8,84.1,59
2020,"전라남도",7.7,3.1,19.8,25.7,11.5,89.3,95.6,55.9
2020,"경상북도",5.1,7,10,30.3,18.4,86.5,91.4,56.1
2020,"경상남도",3.8,2.4,9.4,24.5,9.9,81.6,93.7,63.8
2020,"제주특별자치도",2.1,1.3,5.8,41.9,0.7,94.6,97.4,52.6
2021,"서울특별시",11.8,3.8,9.1,29.8,17,83.9,91.4,58.7
2021,"부산광역시",3,1.6,9.9,34.2,7,89.2,88.2,75.6
2021,"대구광역시",4,2.1,7.7,24,14.7,82.8,94.7,66.7
2021,"인천광역시",2.1,2.8,8.5,19.5,3.6,91.6,95.7,65.4
2021,"광주광역시",12.4,4.8,10.7,32.1,10.4,85.5,92.7,64.5
2021,"대전광역시",5,1.3,15.5,16.7,7.1,92.5,98.4,65.3
2021,"울산광역시",3,1,8.9,20.7,13.6,83.6,92,59.1
2021,"세종특별자치시",5.2,2.6,6.6,17.6,7.6,91.1,99.8,74.5
2021,"경기도",14.2,3.5,10.5,23.7,18.5,82.3,93.1,60
2021,"강원도",8.1,4,12.8,22.8,13.9,80.1,92.9,67.8
2021,"충청북도",1.1,2.3,10.2,11.7,5.3,91,98.4,69.6
2021,"충청남도",4.5,1.9,19.7,15.4,8.1,84.1,97.8,67.2
2021,"전라북도",2.1,4,7.4,26.5,21.2,68.9,91,67.2
2021,"전라남도",7.8,2.9,11.7,20.4,20.1,81.9,93.6,52.5
2021,"경상북도",4.6,3.4,9.8,25.8,16.2,82.8,96.8,56.8
2021,"경상남도",3,2.3,8.1,20.6,8.3,82.9,96,70.5
2021,"제주특별자치도",1.5,0.6,16.6,18.2,3.6,94.5,96,68.9
